Name,Key passes,Total passes,Acc. passes,Accurate opposition half passes,Accurate final third passes,Inaccurate passes,Big chances created,Accurate own half passes,Tackles,Interceptions,Total duels won,Possession lost,Dispossessed,Was fouled,Succ. dribbles,Total shots,Shots on target,Minutes,90s,keypasses,total_passes,acc_passes,Accurate opposition half passes,Accurate final third passes,Inaccurate passes,Big chances created,Accurate own half passes,Tackles,Interceptions,Total duels won,Possession lost,Dispossessed,Was fouled,Succ. dribbles,Total shots,Shots on target
Alberto Noguera,37,876,736,497,265,140,9,249,36,13,132,241,31,50,36,23,3,615,6.83,5.41727672,128.2576867,107.7598829,72.76720351,38.79941435,20.49780381,1.317715959,36.4568082,5.270863836,1.903367496,19.32650073,35.28550512,4.538799414,7.320644217,5.270863836,3.36749634,0.439238653
Facundo Pereyra,34,368,263,204,99,105,4,87,15,6,47,195,11,8,15,11,2,619,6.88,4.941860465,53.48837209,38.22674419,29.65116279,14.38953488,15.26162791,0.581395349,12.64534884,2.180232558,0.872093023,6.831395349,28.34302326,1.598837209,1.162790698,2.180232558,1.598837209,0.290697674
Aitor Monroy,34,658,479,318,164,179,10,187,54,22,118,308,14,39,9,3,0,652,7.24,4.696132597,90.8839779,66.16022099,43.92265193,22.6519337,24.72375691,1.38121547,25.82872928,7.458563536,3.038674033,16.29834254,42.54143646,1.933701657,5.386740331,1.243093923,0.414364641,0
Edu Bedia,23,1300,1101,526,237,199,1,586,25,23,99,289,12,36,6,27,7,653,7.26,3.168044077,179.0633609,151.6528926,72.45179063,32.6446281,27.41046832,0.137741047,80.71625344,3.443526171,3.168044077,13.63636364,39.80716253,1.652892562,4.958677686,0.826446281,3.719008264,0.964187328
João Victor,16,752,642,257,112,110,2,386,16,25,69,133,5,17,4,14,7,713,7.92,2.02020202,94.94949495,81.06060606,32.44949495,14.14141414,13.88888889,0.252525253,48.73737374,2.02020202,3.156565657,8.712121212,16.79292929,0.631313131,2.146464646,0.505050505,1.767676768,0.883838384
Th. Bipin Singh,28,358,277,206,117,81,3,100,17,7,43,187,12,10,13,26,8,714,7.93,3.530895334,45.14501892,34.93064313,25.97730139,14.75409836,10.21437579,0.378310214,12.61034048,2.143757881,0.882723834,5.422446406,23.5813367,1.513240858,1.261034048,1.639344262,3.278688525,1.008827238
Brandon Fernandes,29,366,296,184,91,70,2,125,7,4,32,138,6,21,4,11,2,719,7.99,3.629536921,45.80725907,37.04630788,23.02878598,11.38923655,8.760951189,0.250312891,15.64455569,0.876095119,0.500625782,4.005006258,17.27158949,0.750938673,2.628285357,0.500625782,1.376720901,0.250312891
Lluis Sastre,20,452,399,199,64,53,2,218,11,8,28,98,4,7,0,5,1,753,8.37,2.38948626,54.00238949,47.6702509,23.77538829,7.646356033,6.33213859,0.238948626,26.04540024,1.314217443,0.955794504,3.345280765,11.70848268,0.477897252,0.836320191,0,0.597371565,0.119474313
Rowllin Borges,7,1009,852,329,125,157,1,524,32,38,77,196,2,16,7,15,7,759,8.43,0.830367734,119.6915777,101.0676157,39.02728351,14.82799526,18.62396204,0.118623962,62.15895611,3.795966785,4.507710558,9.134045077,23.25029656,0.237247924,1.897983393,0.830367734,1.779359431,0.830367734
Cole Alexander,8,607,451,259,123,156,1,196,37,35,77,188,5,12,8,10,4,781,8.68,0.921658986,69.93087558,51.95852535,29.83870968,14.17050691,17.97235023,0.115207373,22.58064516,4.262672811,4.032258065,8.870967742,21.65898618,0.576036866,1.382488479,0.921658986,1.152073733,0.460829493
Matti Steinmann,12,717,587,312,123,130,2,275,28,22,106,191,20,27,23,15,6,793,8.81,1.362088536,81.38479001,66.62883087,35.41430193,13.96140749,14.75595914,0.227014756,31.21452894,3.178206583,2.497162316,12.03178207,21.67990919,2.27014756,3.064699205,2.610669694,1.70261067,0.681044268
